Bug ID,Version Index,Version Name,Days from Version to FV,LOC touched from Version to FV,Bugginess
DELTASPIKE-771,3,0.3-incubating,807,94,No
DELTASPIKE-771,2,0.2-incubating,929,469,No
DELTASPIKE-771,1,0.1-incubating,1001,596,No
DELTASPIKE-723,11,1.0.3,0,0,No
DELTASPIKE-723,10,1.0.2,31,19,Yes
DELTASPIKE-723,9,1.0.1,66,19,Yes
DELTASPIKE-723,8,1.0.0,95,64,No
DELTASPIKE-723,7,0.7,137,64,No
DELTASPIKE-723,6,0.6,182,64,No
DELTASPIKE-723,5,0.5,364,64,No
DELTASPIKE-723,4,0.4,474,64,No
DELTASPIKE-723,3,0.3-incubating,756,64,No
DELTASPIKE-723,2,0.2-incubating,878,64,No
DELTASPIKE-723,1,0.1-incubating,950,64,No
DELTASPIKE-965,19,1.5.0,0,0,No
DELTASPIKE-965,18,1.4.2,8,11,Yes
DELTASPIKE-965,17,1.4.1,45,123,No
DELTASPIKE-965,16,1.4.0,70,123,No
DELTASPIKE-965,15,1.3.0,145,123,No
DELTASPIKE-965,14,1.2.1,219,123,No
DELTASPIKE-965,13,1.2.0,239,123,No
DELTASPIKE-965,12,1.1.0,268,123,No
DELTASPIKE-965,11,1.0.3,309,123,No
DELTASPIKE-965,10,1.0.2,344,123,No
DELTASPIKE-965,9,1.0.1,379,123,No
DELTASPIKE-965,8,1.0.0,408,123,No
DELTASPIKE-965,7,0.7,450,125,No
DELTASPIKE-965,6,0.6,495,125,No
DELTASPIKE-965,5,0.5,677,189,No
DELTASPIKE-965,4,0.4,787,361,No
DELTASPIKE-965,3,0.3-incubating,1069,361,No
DELTASPIKE-965,2,0.2-incubating,1191,361,No
DELTASPIKE-965,1,0.1-incubating,1263,361,No
DELTASPIKE-726,11,1.0.3,0,0,No
DELTASPIKE-726,10,1.0.2,33,15,Yes
DELTASPIKE-726,9,1.0.1,68,15,Yes
DELTASPIKE-726,8,1.0.0,97,15,Yes
DELTASPIKE-726,7,0.7,139,15,Yes
DELTASPIKE-726,6,0.6,184,83,No
DELTASPIKE-726,5,0.5,366,129,No
DELTASPIKE-726,4,0.4,476,129,No
DELTASPIKE-726,3,0.3-incubating,758,129,No
DELTASPIKE-726,2,0.2-incubating,880,129,No
DELTASPIKE-726,1,0.1-incubating,952,129,No
DELTASPIKE-847,15,1.3.0,0,0,No
DELTASPIKE-847,14,1.2.1,73,27,Yes
DELTASPIKE-847,13,1.2.0,93,27,No
DELTASPIKE-847,12,1.1.0,122,27,No
DELTASPIKE-847,11,1.0.3,163,27,No
DELTASPIKE-847,10,1.0.2,198,27,No
DELTASPIKE-847,9,1.0.1,233,27,No
DELTASPIKE-847,8,1.0.0,262,27,No
DELTASPIKE-847,7,0.7,304,27,No
DELTASPIKE-847,6,0.6,349,27,No
DELTASPIKE-847,5,0.5,531,27,No
DELTASPIKE-847,4,0.4,641,27,No
DELTASPIKE-847,3,0.3-incubating,923,27,No
DELTASPIKE-847,2,0.2-incubating,1045,27,No
DELTASPIKE-847,1,0.1-incubating,1117,27,No
DELTASPIKE-729,12,1.1.0,0,0,No
DELTASPIKE-729,11,1.0.3,0,87,Yes
DELTASPIKE-729,10,1.0.2,35,122,No
DELTASPIKE-729,9,1.0.1,70,124,No
DELTASPIKE-729,8,1.0.0,99,124,No
DELTASPIKE-729,7,0.7,141,131,No
DELTASPIKE-729,6,0.6,186,164,No
DELTASPIKE-729,5,0.5,368,296,No
DELTASPIKE-729,4,0.4,478,296,No
DELTASPIKE-729,3,0.3-incubating,760,296,No
DELTASPIKE-729,2,0.2-incubating,882,296,No
DELTASPIKE-729,1,0.1-incubating,954,296,No
DELTASPIKE-960,19,1.5.0,0,0,No
DELTASPIKE-960,18,1.4.2,0,29,Yes
DELTASPIKE-960,17,1.4.1,37,134,Yes
DELTASPIKE-960,16,1.4.0,62,134,No
DELTASPIKE-960,15,1.3.0,137,134,No
DELTASPIKE-960,14,1.2.1,211,134,No
DELTASPIKE-960,13,1.2.0,231,134,No
DELTASPIKE-960,12,1.1.0,260,134,No
DELTASPIKE-960,11,1.0.3,301,162,No
DELTASPIKE-960,10,1.0.2,336,162,No
DELTASPIKE-960,9,1.0.1,371,162,No
DELTASPIKE-960,8,1.0.0,400,162,No
DELTASPIKE-960,7,0.7,442,162,No
DELTASPIKE-960,6,0.6,487,162,No
DELTASPIKE-960,5,0.5,669,184,No
DELTASPIKE-960,4,0.4,779,184,No
DELTASPIKE-960,3,0.3-incubating,1061,184,No
DELTASPIKE-960,2,0.2-incubating,1183,184,No
DELTASPIKE-960,1,0.1-incubating,1255,184,No
DELTASPIKE-963,19,1.5.0,0,0,No
DELTASPIKE-963,18,1.4.2,4,123,Yes
DELTASPIKE-963,17,1.4.1,41,123,Yes
DELTASPIKE-963,16,1.4.0,66,138,No
DELTASPIKE-963,15,1.3.0,141,144,No
DELTASPIKE-963,14,1.2.1,215,144,No
DELTASPIKE-963,13,1.2.0,235,150,No
DELTASPIKE-963,12,1.1.0,264,172,No
DELTASPIKE-963,11,1.0.3,305,172,No
DELTASPIKE-963,10,1.0.2,340,172,No
DELTASPIKE-963,9,1.0.1,375,193,No
DELTASPIKE-963,8,1.0.0,404,218,No
DELTASPIKE-963,7,0.7,446,218,No
DELTASPIKE-963,6,0.6,491,218,No
DELTASPIKE-963,5,0.5,673,319,No
DELTASPIKE-963,4,0.4,783,319,No
DELTASPIKE-963,3,0.3-incubating,1065,544,No
DELTASPIKE-963,2,0.2-incubating,1187,544,No
DELTASPIKE-963,1,0.1-incubating,1259,544,No
DELTASPIKE-719,11,1.0.3,0,0,No
DELTASPIKE-719,10,1.0.2,32,578,Yes
DELTASPIKE-719,9,1.0.1,67,578,No
DELTASPIKE-719,8,1.0.0,96,578,No
DELTASPIKE-719,7,0.7,138,578,No
DELTASPIKE-719,6,0.6,183,578,No
DELTASPIKE-719,5,0.5,365,578,No
DELTASPIKE-719,4,0.4,475,578,No
DELTASPIKE-719,3,0.3-incubating,757,578,No
DELTASPIKE-719,2,0.2-incubating,879,578,No
DELTASPIKE-719,1,0.1-incubating,951,578,No
DELTASPIKE-833,16,1.4.0,0,0,No
DELTASPIKE-833,15,1.3.0,25,7,Yes
DELTASPIKE-833,14,1.2.1,99,7,Yes
DELTASPIKE-833,13,1.2.0,119,12,No
DELTASPIKE-833,12,1.1.0,148,257,No
DELTASPIKE-833,11,1.0.3,189,274,No
DELTASPIKE-833,10,1.0.2,224,278,No
DELTASPIKE-833,9,1.0.1,259,280,No
DELTASPIKE-833,8,1.0.0,288,280,No
DELTASPIKE-833,7,0.7,330,280,No
DELTASPIKE-833,6,0.6,375,280,No
DELTASPIKE-833,5,0.5,557,280,No
DELTASPIKE-833,4,0.4,667,340,No
DELTASPIKE-833,3,0.3-incubating,949,349,No
DELTASPIKE-833,2,0.2-incubating,1071,724,No
DELTASPIKE-833,1,0.1-incubating,1143,851,No
DELTASPIKE-954,18,1.4.2,0,0,No
DELTASPIKE-954,17,1.4.1,32,4,Yes
DELTASPIKE-954,16,1.4.0,57,4,No
DELTASPIKE-954,15,1.3.0,132,4,No
DELTASPIKE-954,14,1.2.1,206,4,No
DELTASPIKE-954,13,1.2.0,226,4,No
DELTASPIKE-954,12,1.1.0,255,4,No
DELTASPIKE-954,11,1.0.3,296,4,No
DELTASPIKE-954,10,1.0.2,331,4,No
DELTASPIKE-954,9,1.0.1,366,4,No
DELTASPIKE-954,8,1.0.0,395,4,No
DELTASPIKE-954,7,0.7,437,4,No
DELTASPIKE-954,6,0.6,482,6,No
DELTASPIKE-954,5,0.5,664,8,No
DELTASPIKE-954,4,0.4,774,8,No
DELTASPIKE-954,3,0.3-incubating,1056,210,No
DELTASPIKE-954,2,0.2-incubating,1178,210,No
DELTASPIKE-954,1,0.1-incubating,1250,210,No
DELTASPIKE-832,16,1.4.0,0,0,No
DELTASPIKE-832,15,1.3.0,55,39,Yes
DELTASPIKE-832,14,1.2.1,129,39,Yes
DELTASPIKE-832,13,1.2.0,149,39,No
DELTASPIKE-832,12,1.1.0,178,39,No
DELTASPIKE-832,11,1.0.3,219,78,No
DELTASPIKE-832,10,1.0.2,254,113,No
DELTASPIKE-832,9,1.0.1,289,113,No
DELTASPIKE-832,8,1.0.0,318,113,No
DELTASPIKE-832,7,0.7,360,113,No
DELTASPIKE-832,6,0.6,405,146,No
DELTASPIKE-832,5,0.5,587,193,No
DELTASPIKE-832,4,0.4,697,193,No
DELTASPIKE-832,3,0.3-incubating,979,193,No
DELTASPIKE-832,2,0.2-incubating,1101,193,No
DELTASPIKE-832,1,0.1-incubating,1173,193,No
DELTASPIKE-714,15,1.3.0,0,0,No
DELTASPIKE-714,14,1.2.1,34,23,Yes
DELTASPIKE-714,13,1.2.0,54,23,Yes
DELTASPIKE-714,12,1.1.0,83,23,Yes
DELTASPIKE-714,11,1.0.3,124,31,Yes
DELTASPIKE-714,10,1.0.2,159,31,Yes
