Days from Version to FV,LOC touched from Version to FV,Bugginess
1051,7067,No
0,2,No
58,404,Yes
96,404,Yes
127,404,Yes
238,404,Yes
326,769,Yes
361,769,Yes
369,769,Yes
539,773,Yes
599,773,No
621,773,No
748,773,No
825,773,No
952,773,No
1019,784,No
1031,784,No
1055,784,No
1073,784,No
1201,784,No
1349,784,No
1422,784,No
1458,784,No
1488,784,No
1503,784,No
1593,784,No
1663,784,No
1694,784,No
1714,784,No
1743,784,No
1761,784,No
0,2,No
81,4,Yes
141,4,Yes
163,4,Yes
290,4,Yes
367,4,Yes
494,4,Yes
561,4,Yes
573,4,Yes
597,4,Yes
615,4,No
743,4,No
891,4,No
964,4,No
1000,4,No
1030,4,No
1045,4,No
1135,4,No
1205,4,No
1236,4,No
1256,4,No
1285,4,No
1303,4,No
0,32,No
25,206,Yes
102,206,Yes
229,313,Yes
296,513,No
308,513,No
332,629,No
350,807,No
478,3735,No
626,3895,No
699,4036,No
735,4036,No
765,4036,No
780,4036,No
870,4036,No
940,4036,No
971,4036,No
991,4036,No
1020,4036,No
1038,4036,No
0,51,No
32,237,Yes
109,369,No
236,486,No
303,887,No
315,973,No
339,1099,No
357,1177,No
485,1624,No
633,1956,No
706,2325,No
742,2421,No
772,2511,No
787,2586,No
877,2718,No
947,2849,No
978,2910,No
998,2979,No
1027,3046,No
1045,3068,No
0,7,No
21,99,Yes
98,231,No
225,394,No
292,688,No
304,768,No
328,890,No
346,966,No
474,1244,No
622,1570,No
695,1892,No
731,1988,No
761,2078,No
776,2153,No
866,2285,No
936,2416,No
967,2477,No
987,2546,No
1016,2613,No
1034,2635,No
0,0,No
27,139,Yes
104,271,Yes
231,388,No
298,656,No
310,737,No
334,859,No
352,939,No
480,1316,No
628,1767,No
701,2089,No
737,2185,No
767,2275,No
782,2350,No
872,2482,No
942,2613,No
973,2674,No
993,2743,No
1022,2810,No
1040,2832,No
0,0,No
27,114,Yes
104,258,No
231,375,No
298,633,No
310,713,No
334,835,No
352,915,No
480,1221,No
628,1547,No
701,1869,No
737,1965,No
767,2055,No
782,2130,No
872,2262,No
942,2393,No
973,2454,No
993,2523,No
1022,2590,No
1040,2612,No
0,0,No
72,26,Yes
132,26,No
154,30,No
281,288,No
358,288,No
485,288,No
552,288,No
564,288,No
588,288,No
606,288,No
734,288,No
882,288,No
955,288,No
991,288,No
1021,288,No
1036,288,No
1126,288,No
1196,288,No
1227,288,No
1247,288,No
1276,288,No
1294,288,No
0,93,No
25,267,Yes
85,679,No
107,1030,No
234,9703,No
311,10547,No
438,11359,No
505,12075,No
517,12155,No
541,12279,No
559,12371,No
687,12950,No
835,13345,No
908,13736,No
944,13832,No
974,13922,No
989,13997,No
1079,14129,No
1149,14260,No
1180,14321,No
1200,14390,No
1229,14457,No
1247,14479,No
0,0,No
40,365,Yes
62,942,Yes
189,1076,Yes
266,1076,Yes
393,1076,Yes
460,1279,Yes
472,1279,Yes
496,1279,Yes
514,1307,Yes
642,2043,Yes
790,2043,Yes
863,2043,No
899,2043,No
929,2043,No
944,2043,No
1034,2043,No
1104,2043,No
1135,2043,No
1155,2043,No
1184,2043,No
1202,2043,No
0,2,No
20,25,Yes
80,248,No
102,434,No
229,8885,No
306,9017,No
433,9134,No
500,9392,No
512,9472,No
536,9594,No
554,9670,No
682,9928,No
830,10254,No
903,10576,No
939,10672,No
969,10762,No
984,10837,No
1074,10969,No
1144,11100,No
1175,11161,No
1195,11230,No
1224,11297,No
1242,11319,No
0,0,No
59,285,Yes
119,382,Yes
141,1310,Yes
268,3909,No
345,4014,No
472,4020,No
539,4330,No
551,4334,No
575,4415,No
593,4415,No
721,4773,No
869,4893,No
942,4893,No
978,4893,No
1008,4893,No
1023,4893,No
1113,4893,No
1183,4893,No
1214,4893,No
1234,4893,No
1263,4893,No
1281,4893,No
0,0,No
45,105,Yes
105,328,Yes
127,514,Yes
254,8965,Yes
331,9097,Yes
458,9214,No
525,9472,No
537,9552,No
561,9674,No
579,9750,No
707,10008,No
855,10334,No
928,10656,No
964,10752,No
994,10842,No
1009,10917,No
1099,11049,No
1169,11180,No
1200,11241,No
1220,11310,No
1249,11377,No
1267,11399,No
0,0,No
84,27,Yes
144,27,Yes
166,27,Yes
293,31,No
370,31,No
497,31,No
564,48,No
576,100,No
600,100,No
618,100,No
746,100,No
894,100,No
967,100,No
1003,100,No
1033,100,No
1048,100,No
1138,100,No
1208,100,No
1239,100,No
1259,100,No
1288,100,No
1306,100,No
0,5,No
33,102,Yes
93,428,No
115,666,No
242,14613,No
319,14810,No
446,15000,No
513,15683,No
525,15790,No
549,15976,No
567,16070,No
695,16730,No
843,17229,No
916,17731,No
952,17916,No
982,18393,No
997,18516,No
1087,18756,No
1157,19061,No
1188,19217,No
1208,19357,No
1237,19513,No
1255,19540,No
0,28,No
1,64,Yes
78,196,No
205,313,No
272,571,No
284,651,No
308,773,No
326,853,No
454,1121,No
602,1453,No
675,1775,No
711,1871,No
741,1961,No
756,2036,No
846,2168,No
916,2299,No
947,2360,No
967,2429,No
996,2496,No
1014,2518,No
0,15,No
40,112,Yes
100,335,No
122,521,No
249,8981,No
326,9113,No
453,9234,No
520,9641,No
532,9721,No
556,9843,No
574,9919,No
702,10203,No
850,10529,No
923,10851,No
959,10947,No
989,11037,No
1004,11112,No
1094,11244,No
1164,11375,No
1195,11436,No
1215,11505,No
1244,11572,No
1262,11594,No
0,5,No
63,123,Yes
190,240,No
257,575,No
269,655,No
293,777,No
311,853,No
439,1111,No
587,1437,No
660,1759,No
696,1855,No
726,1945,No
741,2020,No
831,2152,No
901,2283,No
932,2344,No
952,2413,No
981,2480,No
999,2502,No
0,5,No
70,139,Yes
197,264,No
264,870,No
276,950,No
300,1072,No
318,1148,No
446,1406,No
594,1732,No
667,2054,No
703,2150,No
733,2240,No
748,2315,No
838,2447,No
908,2578,No
939,2639,No
959,2708,No
988,2775,No
1006,2797,No
0,3,No
66,215,Yes
193,215,No
260,215,No
272,215,No
296,215,No
314,226,No
442,443,No
590,443,No
663,443,No
699,443,No
729,443,No
744,443,No
834,443,No
904,443,No
935,443,No
955,443,No
984,443,No
1002,443,No
0,3,No
66,125,Yes
193,242,No
260,500,No
272,580,No
296,702,No
314,778,No
442,1036,No
590,1362,No
663,1684,No
699,1780,No
729,1870,No
744,1945,No
834,2077,No
904,2208,No
935,2269,No
955,2338,No
984,2405,No
1002,2427,No
0,5,No
32,94,Yes
92,420,No
114,658,No
241,14605,No
318,14802,No
445,14992,No
512,15675,No
524,15782,No
548,15968,No
566,16062,No
694,16722,No
842,17221,No
915,17723,No
951,17908,No
981,18385,No
996,18508,No
1086,18748,No
1156,19053,No
1187,19209,No
1207,19349,No
1236,19505,No
1254,19532,No
0,0,No
89,248,Yes
149,471,No
171,657,No
298,9108,No
375,9240,No
502,9357,No
569,9656,No
581,9739,No
605,9865,No
623,9947,No
751,10231,No
899,10561,No
972,10883,No
1008,10979,No
1038,11069,No
1053,11144,No
1143,11276,No
1213,11407,No
1244,11468,No
1264,11537,No
