Bug ID,Version Index,Version Name,Days from Version to Ticket Creation,LOC touched from Version to Ticket Creation,Bugginess
QPIDJMS-39,13,0.20.0,573,109,Yes
QPIDJMS-39,12,0.11.1,681,119,Yes
QPIDJMS-39,11,0.11.0,706,140,Yes
QPIDJMS-39,10,0.10.0,776,142,Yes
QPIDJMS-39,9,0.9.0,856,184,Yes
QPIDJMS-39,8,0.8.0,908,204,Yes
QPIDJMS-39,7,0.7.0,968,204,Yes
QPIDJMS-39,6,0.6.0,1038,210,Yes
QPIDJMS-39,5,0.5.0,1080,245,Yes
QPIDJMS-39,4,0.4.0,1092,252,Yes
QPIDJMS-39,3,0.3.0,1158,259,Yes
QPIDJMS-39,2,0.2.0,1187,333,Yes
QPIDJMS-39,1,0.1.0,1245,372,Yes
QPIDJMS-34,25,0.32.0,0,0,No
QPIDJMS-34,24,0.31.0,30,2,Yes
QPIDJMS-34,23,0.30.0,55,2,Yes
QPIDJMS-34,22,0.29.0,93,2,Yes
QPIDJMS-34,21,0.28.0,132,2,Yes
QPIDJMS-34,20,0.27.0,171,2,Yes
QPIDJMS-34,19,0.26.0,201,80,Yes
QPIDJMS-34,18,0.25.0,216,80,Yes
QPIDJMS-34,17,0.24.0,260,80,Yes
QPIDJMS-34,16,0.23.0,345,80,Yes
QPIDJMS-34,15,0.22.0,370,80,Yes
QPIDJMS-34,14,0.21.0,407,80,Yes
QPIDJMS-34,13,0.20.0,461,80,Yes
QPIDJMS-34,12,0.11.1,569,80,Yes
QPIDJMS-34,11,0.11.0,594,80,Yes
QPIDJMS-34,10,0.10.0,664,80,Yes
QPIDJMS-34,9,0.9.0,744,80,Yes
QPIDJMS-34,8,0.8.0,796,80,Yes
QPIDJMS-34,7,0.7.0,856,80,Yes
QPIDJMS-34,6,0.6.0,926,80,Yes
QPIDJMS-34,5,0.5.0,968,80,Yes
QPIDJMS-34,4,0.4.0,980,80,Yes
QPIDJMS-34,3,0.3.0,1046,80,Yes
QPIDJMS-34,2,0.2.0,1075,80,Yes
QPIDJMS-34,1,0.1.0,1133,80,Yes
QPIDJMS-136,7,0.7.0,0,0,No
