Key,Name,URL,,,,,,,,,
MENFORCER,Maven Enforcer Plugin,,,,,,,,,,
MJAR,Maven JAR Plugin,,,,,,,,,,
MJAVADOC,Maven Javadoc Plugin,,,,,,,,,,
MPLUGIN,Maven Plugin Tools,,,,,,,,,,
MPMD,Maven PMD Plugin,,,,,,,,,,
MPIR,Maven Project Info Reports Plugin,,,,,,,,,,
MNGSITE,Maven Project Web Site,,,,,,,,,,
MRELEASE,Maven Release Plugin,,,,,,,,,,
MRESOURCES,Maven Resources Plugin,,,,,,,,,,
SCM,Maven SCM,,,,,,,,,,
MSHADE,Maven Shade Plugin,,,,,,,,,,
MSHARED,Maven Shared Components,,,,,,,,,,
MSITE,Maven Site Plugin,,,,,,,,,,
SUREFIRE,Maven Surefire,,,,,,,,,,
WAGON,Maven Wagon,,,,,,,,,,
MWAR,Maven WAR Plugin,,,,,,,,,,
DIRMINA,MINA,,,,,,,,,,
MODPYTHON,mod_python,,,,,,,,,,
MYFACES,MyFaces Core,,,,,,,,,,
TOBAGO,MyFaces Tobago,,,,,,,,,,
TOMAHAWK,MyFaces Tomahawk,,,,,,,,,,
TRINIDAD,MyFaces Trinidad,,,,,,,,,,
NETBEANS,NetBeans,,,,,,,,,,
NPANDAY,NPanday,,,,,,,,,,
NUTCH,Nutch,,,,,,,,,,
ODE,ODE,,,,,,,,,,
ODFTOOLKIT,ODF Toolkit,,,,,,,,,,
OFBIZ,OFBiz,,,,,,,,,,
OLINGO,Olingo,,,,,,,,,,
OOZIE,Oozie,,,,,,,,,,
OPENEJB,OpenEJB,,,,,,,,,,
OPENJPA,OpenJPA,,,,,,,,,,
OPENMEETINGS,Openmeetings,,,,,,,,,,
OPENNLP,OpenNLP,,,,,,,,,,
OWB,OpenWebBeans,,,,,,,,,,
ORC,ORC,,,,,,,,,,
PDFBOX,PDFBox,,,,,,,,,,
PHOENIX,Phoenix,,,,,,,,,,
PIG,Pig,,,,,,,,,,
PLUTO,Pluto,,,,,,,,,,
QPID,Qpid,,,,,,,,,,
DISPATCH,Qpid Dispatch,,,,,,,,,,
QPIDJMS,Qpid JMS,,,,,,,,,,
PROTON,Qpid Proton,,,,,,,,,,
RAVE,Rave,,,,,,,,,,
SCOUT,Scout,,,,,,,,,,
SERF,serf,,,,,,,,,,
SM,ServiceMix,,,,,,,,,,
SHINDIG,Shindig,,,,,,,,,,
SHIRO,Shiro,,,,,,,,,,
SLING,Sling,,,,,,,,,,
SOAP,SOAP,,,,,,,,,,
SOLR,Solr,,,,,,,,,,
SPARK,Spark,,,,,,,,,,
STANBOL,Stanbol,,,,,,,,,,
STREAMS,Streams,,,,,,,,,,
STR,Struts 1,,,,,,,,,,
WW,Struts 2,,,,,,,,,,
