Key,Ticket Creation Date,Resolved Date,Recorded AV,Assumed AV,Recorded AV with Missing Dates
COCOON-196,8,23,|,|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|2.0.5-dev (Current CVS)|
COCOON-195,8,23,|,|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|2.0.5-dev (Current CVS)|
COCOON-194,8,23,|,|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|2.0.5-dev (Current CVS)|
COCOON-192,8,23,|7|,|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|
COCOON-199,8,23,|,|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|2.0.5-dev (Current CVS)|
COCOON-200,8,23,|7|,|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|
COCOON-76,5,23,|4|,|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|
COCOON-83,6,23,|5|,|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|
COCOON-82,6,23,|5|,|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|
COCOON-81,6,23,|5|,|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|
COCOON-80,6,23,|4|,|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|
COCOON-78,5,23,|4|,|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|
COCOON-77,5,23,|4|,|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|
COCOON-90,6,23,|5|,|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|
COCOON-89,6,23,|5|,|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|
COCOON-88,6,23,|,|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|2.0.5-dev (Current CVS)|
COCOON-86,6,23,|5|,|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|
COCOON-85,6,23,|,|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|2.0.5-dev (Current CVS)|
COCOON-84,6,23,|5|,|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|
COCOON-91,6,23,|5|,|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|
COCOON-97,7,23,|6|,|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|
COCOON-96,7,23,|6|,|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|
COCOON-95,7,23,|6|,|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|
COCOON-94,7,23,|6|,|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|,|
