Key,Ticket Creation Date,Resolved Date,Recorded AV,Assumed AV,Recorded AV with Missing Dates
STR-1675,3,7,|,|3|4|5|6|7|,|1.1 RC1|
STR-1682,3,7,|2|,|2|3|4|5|6|7|,|
STR-1685,3,7,|2|,|2|3|4|5|6|7|,|
STR-1684,3,7,|2|,|2|3|4|5|6|7|,|
STR-1683,3,7,|2|,|2|3|4|5|6|7|,|
STR-1693,3,7,|2|,|2|3|4|5|6|7|,|
STR-1689,3,7,|2|,|2|3|4|5|6|7|,|
STR-1688,3,7,|2|,|2|3|4|5|6|7|,|
STR-1699,3,7,|2|,|2|3|4|5|6|7|,|
STR-1694,3,7,|2|,|2|3|4|5|6|7|,|
STR-1704,3,7,|2|,|2|3|4|5|6|7|,|
STR-1702,3,7,|,|3|4|5|6|7|,|1.1 RC1|
STR-1700,3,7,|,|3|4|5|6|7|,|1.1 RC2|
STR-1711,3,7,|2|,|2|3|4|5|6|7|,|
STR-1716,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-1715,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-1708,3,7,|2|,|2|3|4|5|6|7|,|
STR-1713,3,7,|2|,|2|3|4|5|6|7|,|
STR-1707,3,7,|,|3|4|5|6|7|,|0.5|
STR-1710,3,7,|2|,|2|3|4|5|6|7|,|
STR-1718,3,7,|2|,|2|3|4|5|6|7|,|
STR-1719,3,7,|2|,|2|3|4|5|6|7|,|
STR-1727,3,7,|2|,|2|3|4|5|6|7|,|
STR-1720,3,7,|2|,|2|3|4|5|6|7|,|
STR-1737,3,7,|2|,|2|3|4|5|6|7|,|
STR-1735,3,7,|2|,|2|3|4|5|6|7|,|
STR-1733,3,7,|2|,|2|3|4|5|6|7|,|
STR-1739,3,7,|,|3|4|5|6|7|,|Future|
STR-1740,3,7,|2|,|2|3|4|5|6|7|,|
STR-1744,3,7,|2|,|2|3|4|5|6|7|,|
STR-1743,3,7,|,|3|4|5|6|7|,|1.1 RC2|
STR-1742,3,7,|2|,|2|3|4|5|6|7|,|
STR-1755,3,7,|2|,|2|3|4|5|6|7|,|
STR-1750,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-1756,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-1752,3,7,|,|3|4|5|6|7|,|1.0.0|
STR-1754,3,7,|,|3|4|5|6|7|,|Future|
STR-1761,3,7,|2|,|2|3|4|5|6|7|,|
STR-1763,3,7,|2|,|2|3|4|5|6|7|,|
STR-1765,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-1759,3,7,|2|,|2|3|4|5|6|7|,|
STR-1769,3,7,|2|,|2|3|4|5|6|7|,|
STR-1782,3,7,|2|,|2|3|4|5|6|7|,|
STR-1783,3,7,|2|,|2|3|4|5|6|7|,|
STR-1780,3,7,|,|3|4|5|6|7|,|1.1 RC2|
STR-1785,3,7,|2|,|2|3|4|5|6|7|,|
STR-1791,3,7,|2|,|2|3|4|5|6|7|,|
STR-1786,3,7,|,|3|4|5|6|7|,|1.1 Beta 3|
STR-1784,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-1790,3,7,|2|,|2|3|4|5|6|7|,|
STR-1803,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-1794,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-1796,3,7,|2|,|2|3|4|5|6|7|,|
STR-1800,3,7,|2|,|2|3|4|5|6|7|,|
STR-1802,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-1811,3,7,|2|,|2|3|4|5|6|7|,|
STR-1813,3,7,|2|,|2|3|4|5|6|7|,|
STR-1814,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-1812,3,7,|2|,|2|3|4|5|6|7|,|
STR-1805,3,7,|2|,|2|3|4|5|6|7|,|
STR-1815,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-1818,3,7,|2|,|2|3|4|5|6|7|,|
STR-1816,3,7,|2|,|2|3|4|5|6|7|,|
STR-1833,3,7,|2|,|2|3|4|5|6|7|,|
STR-1835,3,7,|2|,|2|3|4|5|6|7|,|
STR-1826,3,7,|2|,|2|3|4|5|6|7|,|
STR-1846,3,7,|2|,|2|3|4|5|6|7|,|
STR-1842,3,7,|1|,|1|2|3|4|5|6|7|,|
STR-1837,3,7,|2|,|2|3|4|5|6|7|,|
STR-1840,3,7,|2|,|2|3|4|5|6|7|,|
STR-1841,3,7,|2|,|2|3|4|5|6|7|,|
STR-1857,3,7,|2|,|2|3|4|5|6|7|,|
STR-1858,3,7,|2|,|2|3|4|5|6|7|,|
STR-1848,3,7,|,|3|4|5|6|7|,|1.1 RC2|
STR-1865,3,7,|2|,|2|3|4|5|6|7|,|
STR-1860,3,7,|2|,|2|3|4|5|6|7|,|
STR-1863,3,7,|2|,|2|3|4|5|6|7|,|
STR-1864,3,7,|1|,|1|2|3|4|5|6|7|,|
STR-1869,3,7,|2|,|2|3|4|5|6|7|,|
STR-1867,3,7,|2|,|2|3|4|5|6|7|,|
STR-1883,3,7,|2|,|2|3|4|5|6|7|,|
STR-1877,3,7,|2|,|2|3|4|5|6|7|,|
STR-1874,3,7,|2|,|2|3|4|5|6|7|,|
STR-1882,3,7,|2|,|2|3|4|5|6|7|,|
STR-1881,3,7,|2|,|2|3|4|5|6|7|,|
STR-1872,3,7,|2|,|2|3|4|5|6|7|,|
STR-1871,3,7,|2|,|2|3|4|5|6|7|,|
STR-1889,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-1887,3,7,|2|,|2|3|4|5|6|7|,|
STR-1884,3,7,|2|,|2|3|4|5|6|7|,|
STR-1900,3,7,|2|,|2|3|4|5|6|7|,|
STR-1895,3,7,|,|3|4|5|6|7|,|Nightly Build|
STR-1899,3,7,|2|,|2|3|4|5|6|7|,|
