Index,Version Name,Release Date,Last Commit
64,1.5.6,2012-04-27T00:00,18714f73190a2138fc7a2b70062cbd6c4821572e
65,6.0.0-beta2,2012-05-29T00:00,d662e37edb1f5f90e4fab1182ce20595a140eea9
66,6.0.0-beta3,2012-07-16T00:00,55cd660053c5eb60e2879f075b863c239b71b16c
67,1.5.8,2012-08-20T00:00,89c72d363580c66d433ecb4d2f7839cb09aaaf37
68,6.0.0,2012-08-27T00:00,16e795017f0d30edd28971775c6aefab868d60ff
69,1.4.21,2012-08-30T00:00,a25f5d4848d6f603e44c1fa10fea73ee32b0beac
70,6.1.0,2012-09-26T00:00,cb660c20628ec41456c82a9922e7652313f64e74
71,6.1.1,2012-10-05T00:00,ea83e6b627b038433b51eb85d3abd4a13e89fe97
72,6.2.0,2012-10-19T00:00,600f5dfb15830288e04e5723fd5237e73de4536e
73,1.5.9,2012-11-06T00:00,304448028555b3de958a59d982643ac0e80865cc
74,6.3.0,2012-11-16T00:00,675b89e42b0e351138c72fca580f0e89fb1a8765
75,6.4.0,2012-12-14T00:00,d6a114ef535ed3280d40b32d3f02a87db6ee3087
76,6.5.0,2013-01-18T00:00,dc0f04949381f44fc38933302bf80956e078ba0b
77,6.6.0,2013-02-15T00:00,2672f886c528ba655c1662f1b08cc48c84b5f485
78,1.5.10,2013-02-20T00:00,67734067d563217f4a118f8d4a2712be954d3e97
79,1.4.22,2013-02-22T00:00,cd632a5bfc2e5e842b791b49bb44d268c60fbc1e
80,6.7.0,2013-04-14T00:00,1dc7ab8b4497b46c2e102a3036b0a303fa26f267
81,6.8.0,2013-05-17T00:00,92629fdf0d337fddfe29d9317bb9573ade4ad7a1
82,6.9.0,2013-06-28T00:00,6a3d865af097b1039704386ef1fa3f90318df4ff
83,6.9.1,2013-07-10T00:00,3fd6732a6aa01861071cb68a85eadf6908e4dbce
84,6.10.0,2013-08-19T00:00,db59df519990ec25c07cbf8ad4d53a869d0465e7
85,6.11.0,2013-09-26T00:00,5e453cfd838285fb53c6f777da50785bb37105ec
86,6.12.0,2013-11-04T00:00,34c21699df27d70ea92dbac8e4f317b32f0a4b2c
87,6.13.0,2014-01-09T00:00,659f771e5adeaa87b00fd15082a600dfe9a63715
88,1.5.11,2014-01-27T00:00,c9bfc5dd83fc55f953067fded11e27bf1a1f7993
89,1.4.23,2014-02-06T00:00,318249733931427a4baa9aea4fe23bab456331ae
90,6.14.0,2014-02-20T00:00,2f46df3c4b3bb6da0af319075e25a4448fea5b12
91,6.15.0,2014-04-24T00:00,57d8f05141e19d8cf3700b4cb730739c46dd7c71
92,7.0.0-M1,2014-04-30T00:00,406e54e1cbd24642d1c1a880527c361426d5c83c
93,7.0.0-M2,2014-06-21T00:00,a432538219631f0250e1b2f5a1681811bff82b6a
