Bug ID,Bug Resolution Date,Ticket Creation Date,Fix Date,Hash,Git Directory
QPIDJMS-34,2015-03-31 14:57:59 +0000,2015-03-31 14:37:03 +0000,2018-04-25 11:05:37 +0100,0933c9eee125d046ea0776d57fb74d9a8df68032,qpid-jms
QPIDJMS-256,2017-02-03 16:37:55 +0000,2017-01-18 20:58:29 +0000,2017-02-03 11:26:03 -0500,d22a22f64df447152b78a575e5b2ce44c0b89087,qpid-jms
QPIDJMS-136,2015-10-30 15:50:21 +0000,2015-10-30 15:42:36 +0000,2015-10-30 15:47:02 +0000,7c22d59e40253fa7915b575db8e33c33510d7a13,qpid-jms
QPIDJMS-257,2017-01-31 20:36:49 +0000,2017-01-18 22:49:28 +0000,2017-02-07 10:52:38 +0000,e348e935e762cdaba294ac6382136a15bccf4231,qpid-jms
QPIDJMS-412,2018-08-31 17:42:51 +0000,2018-08-31 17:33:46 +0000,2018-08-31 18:34:47 +0100,76f372510e154a0a963f4b2ba11025189e53193a,qpid-jms
QPIDJMS-413,2018-09-24 19:50:17 +0000,2018-09-24 19:42:11 +0000,2018-09-24 15:49:12 -0400,1d7230e032abf355d9e92778f07eae2609541041,qpid-jms
QPIDJMS-374,2018-04-05 20:29:21 +0000,2018-03-29 06:51:19 +0000,2018-04-04 22:02:58 +0200,b96f4f2ab2ee635661c175b48e39cb3c65006b6a,qpid-jms
QPIDJMS-254,2017-01-16 16:14:51 +0000,2017-01-16 15:46:49 +0000,2017-01-16 16:05:01 +0000,d089d865e3d16624751d4c22a188fb91156ecf03,qpid-jms
QPIDJMS-376,2018-06-04 11:46:55 +0000,2018-04-10 10:48:13 +0000,2018-04-11 13:23:33 +0100,a307df8bcb24f29760cb68c51f92f420396c1c3a,qpid-jms
QPIDJMS-130,2015-10-15 16:44:35 +0000,2015-10-15 16:43:26 +0000,2015-10-16 11:12:19 +0100,672f7d35b6e1add8cd4b7babc1882a11e4e88906,qpid-jms
QPIDJMS-251,2017-01-13 19:03:32 +0000,2017-01-13 18:04:25 +0000,2017-01-13 13:14:48 -0500,0aaf6d5e51beac49375de86b2dbfd7b98130d882,qpid-jms
QPIDJMS-372,2018-03-27 16:35:17 +0000,2018-03-26 11:57:04 +0000,2018-03-27 17:23:04 +0100,7ce0c2916961c01e162e4cda4b622d991eeadbb6,qpid-jms
QPIDJMS-66,2015-06-04 09:49:12 +0000,2015-06-04 09:37:26 +0000,2015-06-04 10:39:26 +0100,427a36deb13e6a8f620b79d236985392b213dbe0,qpid-jms
QPIDJMS-65,2015-06-03 15:08:20 +0000,2015-06-01 22:28:55 +0000,2015-06-04 15:47:50 +0100,2198077f0c35950b240aa208038e2b7a9843c2ae,qpid-jms
QPIDJMS-63,2015-06-02 09:46:30 +0000,2015-06-01 21:11:19 +0000,2015-06-02 10:09:06 +0100,5c21506fcf3ccda968407bba63599219fe4ff40c,qpid-jms
QPIDJMS-62,2015-06-01 11:43:32 +0000,2015-06-01 11:39:42 +0000,2015-06-01 12:42:07 +0100,4db955b2117328ff64e3534bc356d7b5a291d74f,qpid-jms
QPIDJMS-60,2015-05-29 19:15:15 +0000,2015-05-29 11:15:49 +0000,2015-05-29 15:13:44 -0400,07d1637d959002cef9c7eb5466f0185618db29bc,qpid-jms
QPIDJMS-407,2018-08-08 15:28:07 +0000,2018-08-03 19:38:41 +0000,2018-08-08 09:56:21 -0400,fe90adaf2f63444c09ddb6b058f03568cacb04ef,qpid-jms
QPIDJMS-249,2017-01-13 16:49:59 +0000,2017-01-11 21:22:33 +0000,2017-01-11 16:25:22 -0500,bb91ce125a805b4216e0e55669e1404662e43613,qpid-jms
QPIDJMS-403,2018-07-17 21:18:21 +0000,2018-07-17 21:05:55 +0000,2018-07-18 17:16:48 +0100,8b200671ed7a449b5b565b5926b7b8850f010007,qpid-jms
QPIDJMS-404,2018-07-19 09:04:53 +0000,2018-07-18 16:33:48 +0000,2018-07-18 12:37:35 -0400,264a9a9b6c5d8d8c11a995b7b02289b2938d77ba,qpid-jms
QPIDJMS-67,2015-06-04 14:52:38 +0000,2015-06-04 14:26:20 +0000,2015-06-04 15:47:50 +0100,2198077f0c35950b240aa208038e2b7a9843c2ae,qpid-jms
QPIDJMS-245,2017-01-06 20:03:04 +0000,2017-01-04 06:16:05 +0000,2017-01-06 15:02:42 -0500,b2f137b094b5709ccabc4e95018d287fecc773d0,qpid-jms
QPIDJMS-126,2015-10-26 15:35:27 +0000,2015-10-12 20:43:30 +0000,2015-10-19 16:18:53 -0400,69cb3e699e56ad4d7ec69b0a88b646e157921304,qpid-jms
QPIDJMS-368,2018-03-16 17:49:50 +0000,2018-03-16 15:39:07 +0000,2018-03-16 13:44:40 -0400,4b022971b7461ebaefe12161358e03c0af9b590a,qpid-jms
QPIDJMS-369,2018-03-21 21:10:53 +0000,2018-03-21 21:07:50 +0000,2018-03-22 12:45:57 +0000,7da7a3d0ec81f5a32a9976315273900db0425146,qpid-jms
QPIDJMS-120,2015-10-05 16:07:35 +0000,2015-10-05 15:44:22 +0000,2015-10-05 17:09:41 +0100,febb811d93cb2a502b115d9349cfc90ccb610370,qpid-jms
